,CM_SK_37,CM_SK_4,CM_Ve_37,CM_Ve_4,Papp_SK,Papp_Ve,MW,logD7.4,logP,logkp,PSA,pKa,logS,Donors,Acceptors,Rotatable
sesamol,0.013679811,0.009350255,0.012758662,0.005388233,0.07,0.10,138.12,1.29,1.29,-6.27,38.7,9.79,-1.55,1,3,0
sesamin,0.495887678,0.343953993,0.094951952,0.211082155,0.15,0.10,354.35,2.45,2.45,-6.56,55.4,0,-4.6,0,6,2
sesamolin,1.790225442,1.553642534,0.248769959,0.187070418,0.33,0.17,370.35,2.74,2.74,-6.44,64.6,0,-4.33,0,7,3
